material,material_id,formula,space_group,plane,d_spacing_A,max_separation_A,minimum_angle_deg,closest_facet,screen_status,gamma_status,delta_min_eV,delta_max_eV
"1,3,5-TBB","1,3,5-TBB",HC2Br,P2_12_12_1,(1 0 0),7.115,1.451,0.0,(2 0 0),Potential slip plane,Complete,0.0,0.9418725967404953
"1,3,5-TBB","1,3,5-TBB",HC2Br,P2_12_12_1,(1 1 0),4.9064444,-0.02,0.0,(1 -1 0),Potential slip plane,Complete,0.0,1.5914387702941895
"1,3,5-TBB","1,3,5-TBB",HC2Br,P2_12_12_1,(1 -1 -1),3.7673391,-0.624,67.42345046307956,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3,5-TBB","1,3,5-TBB",HC2Br,P2_12_12_1,(0 1 0),6.775,-0.648,43.59779152773179,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3,5-TBB","1,3,5-TBB",HC2Br,P2_12_12_1,(0 1 1),1.9533695,-0.877,77.94789998491945,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3,5-TCB","1,3,5-TCB",HC2Cl,P2_12_12_1,(1 0 0),6.965,1.254,0.0,(2 0 0),Potential slip plane,Complete,0.0,0.7604322433469406
"1,3,5-TCB","1,3,5-TCB",HC2Cl,P2_12_12_1,(1 1 0),4.7888322,-0.172,0.0,(1 -1 0),Potential slip plane,Complete,0.0,11.904915809631348
"1,3,5-TCB","1,3,5-TCB",HC2Cl,P2_12_12_1,(1 -1 -1),3.6199652,-0.216,67.79267942140167,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3,5-TCB","1,3,5-TCB",HC2Cl,P2_12_12_1,(0 1 0),6.595,-0.433,43.43700740853212,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3,5-TCB","1,3,5-TCB",HC2Cl,P2_12_12_1,(0 1 1),1.8743786,-0.547,78.08999094359245,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3,5-TCB","1,3,5-TCB",HC2Cl,P2_12_12_1,(0 0 1),1.955,-0.946,90.0,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3-DNB","1,3-DNB",H2C3NO2,Pna2_1,(1 0 0),7.012,-0.46,0.0,(2 0 0),Potential slip plane,Complete,0.0,1.1345748901367188
"1,3-DNB","1,3-DNB",H2C3NO2,Pna2_1,(2 1 0),6.1906432,-0.491,18.762498535593075,(1 -1 0),Potential slip plane,Complete,0.0,3.051788330078125
"1,3-DNB","1,3-DNB",H2C3NO2,Pna2_1,(0 1 1),3.5417909,0.454,78.71003407402623,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3-DNB","1,3-DNB",H2C3NO2,Pna2_1,(0 0 1),1.8385,-0.475,90.0,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,3-DNB","1,3-DNB",H2C3NO2,Pna2_1,(0 1 0),6.591,-0.608,43.227315588781046,(1 -1 0),Separation pass; angle fail,Not applicable,,
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(0 0 1),7.1383284,2.314,1.2074182697257333e-06,(0 0 2),Potential slip plane,Complete,0.0,0.46156024932884065
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(0 1 -1),5.3653777,-0.012,0.0,(0 1 -1),Potential slip plane,Complete,0.0,2.9684324264526367
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(1 0 1),3.7447422,1.333,67.67765822719478,(0 0 2),Separation pass; angle fail,Not applicable,,
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(1 0 -1),3.999414,1.128,81.10490798440766,(0 0 2),Separation pass; angle fail,Not applicable,,
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(1 0 0),2.0079122,-0.296,82.76,(0 0 2),Separation pass; angle fail,Not applicable,,
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(1 0 3),2.8945614,-0.655,45.64663801762052,(0 0 2),Separation pass; angle fail,Not applicable,,
"1,4-DBB","1,4-DBB",H2C3Br,P2_1/c,(1 1 0),3.2997774,-0.891,55.453979714602134,(0 1 -1),Separation pass; angle fail,Not applicable,,
135-trifluro,135-trifluro,C2IF,P2_1/c,(1 0 -1),5.8967976,1.873,0.0,(1 0 -1),Potential slip plane,Complete,0.0,1.9975180625913254
135-trifluro,135-trifluro,C2IF,P2_1/c,(1 0 1),8.6645648,1.071,0.0,(1 0 1),Potential slip plane,Complete,0.0,1.372731685638655
135-trifluro,135-trifluro,C2IF,P2_1/c,(1 0 0),6.6434444,0.664,34.04938407151049,(1 0 1),Separation pass; angle fail,Not applicable,,
135-trifluro,135-trifluro,C2IF,P2_1/c,(0 0 1),7.3797503,-0.328,38.45961592848951,(1 0 1),Separation pass; angle fail,Not applicable,,
